filename,status,REF_size_MB,REF_size_bytes,REF_duration_s,REF_fps,REF_width,REF_height,REF_codec,REF_pix_fmt,REF_bitrate_kbps,REF_nb_frames_meta,GEN_size_MB,GEN_size_bytes,GEN_duration_s,GEN_fps,GEN_width,GEN_height,GEN_codec,GEN_pix_fmt,GEN_bitrate_kbps,GEN_nb_frames_meta,REF_md5,GEN_md5,md5_identical,delta_duration_s,delta_fps,delta_width_px,delta_height_px,delta_size_bytes,dur_match,fps_match,dim_match,REF_mean_B,REF_std_B,GEN_mean_B,GEN_std_B,delta_mean_B,REF_mean_G,REF_std_G,GEN_mean_G,GEN_std_G,delta_mean_G,REF_mean_R,REF_std_R,GEN_mean_R,GEN_std_R,delta_mean_R,mae_overall,psnr_dB,mae_B,mae_G,mae_R
05-0021-R-G_LRnHCC_552_360.mp4,both,0.209,208869,10.038462,26.0,552,360,av1,yuv420p,166.5,0,0.19,189567,10.038462,26.0,552,360,av1,yuv420p,151.1,261,a8530f52f92d2f42470b6cebe00a0098,e8c64d91cc9f0ae6711b0312cabde954,False,0.0,0.0,0,0,-19302,True,True,True,8.48,25.423,8.623,25.576,0.143,8.478,25.419,8.62,25.564,0.142,8.476,25.415,8.617,25.553,0.141,0.6323,42.2,0.6334,0.6319,0.6316
05-0030-H-M_LRnHCC_552_360.mp4,both,0.407,407391,9.823529,34.0,552,360,av1,yuv420p,331.8,0,0.362,361672,9.823529,34.0,552,360,av1,yuv420p,294.5,334,39b3caf880f63fe4811e58fddeb9618f,79787d1ff036ab91f0707cc7950f6407,False,0.0,0.0,0,0,-45719,True,True,True,12.313,28.449,12.49,28.605,0.177,12.312,28.448,12.487,28.594,0.175,12.308,28.44,12.484,28.585,0.176,0.9159,40.65,0.9175,0.9153,0.9149
05-0047-B-M_LRnHCC_552_360.mp4,both,0.455,454644,9.807692,26.0,552,360,av1,yuv420p,370.8,0,0.392,392399,9.807692,26.0,552,360,av1,yuv420p,320.1,255,b6b491fdd4bc547fe8cd1a206ea2468f,0eb4b3d23a7c791ec3918f26b734e98d,False,0.0,0.0,0,0,-62245,True,True,True,17.204,35.4,17.261,35.427,0.057,17.201,35.398,17.257,35.416,0.056,17.199,35.394,17.254,35.406,0.055,1.073,39.54,1.0748,1.0721,1.0721
05-0054-R-J_LRnHCC_700_480.mp4,both,0.342,342440,7.576923,26.0,700,480,av1,yuv420p,361.6,0,0.363,363300,7.576923,26.0,700,480,av1,yuv420p,383.6,197,88ccd95acfc6b4a62dc9207014303266,7441a6b7cf17e2b4e496d0ac99782444,False,0.0,0.0,0,0,20860,True,True,True,10.187,26.508,10.7,26.975,0.513,10.948,26.778,10.476,26.545,-0.472,10.124,26.306,10.617,26.805,0.493,1.1708,37.08,1.1676,1.206,1.1387
05-0061-B-Y_LRnHCC_552_360.mp4,both,0.53,529983,9.384615,26.0,552,360,av1,yuv420p,451.8,0,0.439,439267,9.384615,26.0,552,360,av1,yuv420p,374.5,244,27c7ba922d296be291a5141f75c085d9,b61a2bd7d00d3a5b29566c01f8f0d1ae,False,0.0,0.0,0,0,-90716,True,True,True,15.578,34.842,15.674,34.886,0.096,15.575,34.84,15.67,34.874,0.095,15.573,34.836,15.667,34.865,0.094,1.1164,39.24,1.1182,1.1156,1.1155
05-0062-J-D_LRnHCC_552_360.mp4,both,0.338,337602,10.0,26.0,552,360,av1,yuv420p,270.1,0,0.294,293868,10.0,26.0,552,360,av1,yuv420p,235.1,260,de44fa07fd6f3a743c4ae909dddd6adf,ad92b61bc5e69a752932bdc198a87a1e,False,0.0,0.0,0,0,-43734,True,True,True,11.06,31.274,11.1,31.278,0.04,11.057,31.272,11.096,31.265,0.039,11.054,31.265,11.093,31.254,0.039,0.7547,40.81,0.7564,0.7537,0.7539
05-0065-B-Y_HRHCCp_552_360.mp4,both,0.288,287525,3.423077,26.0,552,360,av1,yuv420p,672.0,0,0.153,153349,3.423077,26.0,552,360,av1,yuv420p,358.4,89,563d99f48b0dcfca978116844967631b,1924bdcce0a80d539dc97bc0c36dcfa3,False,0.0,0.0,0,0,-134176,True,True,True,16.437,36.481,16.465,36.378,0.028,16.434,36.479,16.461,36.367,0.027,16.432,36.475,16.458,36.358,0.026,4.0575,27.16,4.0593,4.0564,4.0567
05-0074-B-J_LRnHCC_552_360.mp4,both,0.43,430479,10.0,26.0,552,360,av1,yuv420p,344.4,0,0.382,382136,10.0,26.0,552,360,av1,yuv420p,305.7,260,2961120ff79b244d5d83027c28c7c9b3,fdba6255b85e25a7daeac9a73ba68cca,False,0.0,0.0,0,0,-48343,True,True,True,16.023,37.583,16.063,37.598,0.04,16.02,37.58,16.059,37.587,0.039,16.018,37.576,16.055,37.578,0.037,0.9468,40.17,0.9483,0.946,0.946
05-0077-D-M_LRnHCC_552_360.mp4,both,0.315,314980,9.857143,21.0,552,360,av1,yuv420p,255.6,0,0.285,284784,9.857143,21.0,552,360,av1,yuv420p,231.1,207,6c03a00b8a16d501edd76ea9b16061db,9c0378fda48ed8fd3e4497a16553abaa,False,0.0,0.0,0,0,-30196,True,True,True,11.787,27.05,11.964,27.178,0.177,11.785,27.047,11.96,27.166,0.175,11.783,27.039,11.957,27.157,0.174,0.9509,40.52,0.9518,0.9505,0.9503
05-0080-D-P_HRHCCp_418_360.mp4,both,0.21,210361,9.666667,27.0,418,360,av1,yuv420p,174.1,0,0.197,197282,9.666667,27.0,418,360,av1,yuv420p,163.3,261,658ab69f042d1bbb8ad65cbfb96f2bda,696ca9f7c14c9ac4b5d533b18dff4676,False,0.0,0.0,0,0,-13079,True,True,True,18.636,40.537,17.286,39.682,-1.35,20.101,40.987,17.285,39.681,-2.816,18.635,40.537,17.283,39.677,-1.352,23.3766,14.27,23.2418,23.649,23.2389
06-0004-T-A_HRHCCp_698_480.mp4,both,1.254,1254220,8.333333,30.0,698,480,av1,yuv420p,1204.1,0,1.013,1013002,8.333333,30.0,698,480,av1,yuv420p,972.5,250,869d7fb7c9d679b2224ef6f6321e44a8,afb57ab444fe641bef34ae67de9814e3,False,0.0,0.0,0,0,-241218,True,True,True,28.246,44.14,29.614,45.706,1.368,25.329,39.858,26.33,41.152,1.001,24.331,38.88,25.058,39.669,0.727,1.8567,36.5,2.085,1.7971,1.688
06-0016-P-M_LRnHCC_1036_720.mp4,both,2.548,2548209,15.941176,17.0,1036,720,av1,yuv420p,1278.8,0,1.786,1785838,15.941176,17.0,1036,720,av1,yuv420p,896.2,271,a7900164dfc3d1d7bcab669f151a430d,d97b81e7210fc47f723d7746eff0475b,False,0.0,0.0,0,0,-762371,True,True,True,21.296,31.95,22.092,32.762,0.796,19.459,29.335,19.312,29.27,-0.147,18.459,28.134,19.081,28.744,0.622,1.2625,39.82,1.4227,1.1284,1.2365
06-0018-D-M_LRnHCC_1280_890.mp4,both,4.298,4297872,14.764706,17.0,1280,890,h264,yuv420p,2328.7,251,8.22,8220416,14.764706,17.0,1280,890,h264,yuv420p,4454.1,251,636c5ad908784fcf57c89ba0b9948a56,b4e9c5c1468cc6b88f1d18cef3a426b3,False,0.0,0.0,0,0,3922544,True,True,True,15.879,29.977,16.528,30.681,0.649,14.587,27.534,14.485,27.496,-0.102,13.767,26.354,14.238,26.85,0.471,0.8769,42.27,1.0207,0.7562,0.8538
06-0019-G-J_LRnHCC_1036_720.mp4,both,1.381,1381140,10.35,20.0,1036,720,av1,yuv420p,1067.5,0,1.011,1010539,10.35,20.0,1036,720,av1,yuv420p,781.1,207,eb8cb1b8c30f5f87c8389b3476915d16,835a173c307b1f9843cd5af6c50e512e,False,0.0,0.0,0,0,-370601,True,True,True,16.948,29.842,17.593,30.632,0.645,15.465,27.345,15.361,27.277,-0.104,14.637,26.157,15.169,26.791,0.532,1.0096,41.0,1.1389,0.8947,0.9953
06-0023-B-Y_LRnHCC_1036_720.mp4,both,1.287,1286547,10.25,20.0,1036,720,av1,yuv420p,1004.1,0,0.947,947354,10.25,20.0,1036,720,av1,yuv420p,739.4,205,32cc341c27051902f2a73c62fe6c0c92,0ee25cda99b59887573ba126036e377c,False,0.0,0.0,0,0,-339193,True,True,True,17.812,27.99,18.742,28.792,0.93,16.557,25.93,16.357,25.819,-0.2,15.624,24.898,16.267,25.457,0.643,1.2663,40.05,1.4621,1.1179,1.2191
06-0029-G-J_LRnHCC_1036_720.mp4,both,1.152,1151814,10.35,20.0,1036,720,av1,yuv420p,890.3,0,0.89,889631,10.35,20.0,1036,720,av1,yuv420p,687.6,207,1577e4858dcd948455c2c816485659c3,99b3821cc3542ac22f3ee2a3e4ffcc0a,False,0.0,0.0,0,0,-262183,True,True,True,16.055,27.829,16.786,28.585,0.731,14.734,25.61,14.607,25.52,-0.127,13.909,24.521,14.458,25.093,0.549,1.0909,40.86,1.2479,0.9657,1.059
